variable,search_domain,forecast_domain,anomaly_search,reference_date,forecast_date,forecast_error
msl,alaska,alaska,False,2004-10-06,2004-10-07,563.366
msl,alaska,alaska,False,2004-10-06,2004-10-08,1037.702
msl,alaska,alaska,False,2004-10-06,2004-10-09,1361.24
msl,alaska,alaska,False,2004-10-06,2004-10-10,1217.323
msl,alaska,alaska,False,2004-10-06,2004-10-11,1273.24
msl,alaska,alaska,False,2004-10-06,2004-10-12,1490.66
msl,alaska,alaska,False,2004-10-06,2004-10-13,1322.998
msl,alaska,alaska,False,2004-10-06,2004-10-14,1937.247
msl,alaska,alaska,False,2004-10-06,2004-10-15,1719.327
msl,alaska,alaska,False,2004-10-06,2004-10-16,1478.189
msl,alaska,alaska,False,2004-10-06,2004-10-17,1334.169
msl,alaska,alaska,False,2004-10-06,2004-10-18,1255.463
msl,alaska,alaska,False,2004-10-06,2004-10-19,2017.94
msl,alaska,alaska,False,2004-10-06,2004-10-20,1550.034
msl,alaska,alaska,False,2004-10-08,2004-10-09,620.296
msl,alaska,alaska,False,2004-10-08,2004-10-10,845.636
msl,alaska,alaska,False,2004-10-08,2004-10-11,1203.568
msl,alaska,alaska,False,2004-10-08,2004-10-12,1236.973
msl,alaska,alaska,False,2004-10-08,2004-10-13,1119.756
msl,alaska,alaska,False,2004-10-08,2004-10-14,1693.19
msl,alaska,alaska,False,2004-10-08,2004-10-15,1692.108
msl,alaska,alaska,False,2004-10-08,2004-10-16,1333.682
msl,alaska,alaska,False,2004-10-08,2004-10-17,1132.171
msl,alaska,alaska,False,2004-10-08,2004-10-18,1312.554
msl,alaska,alaska,False,2004-10-08,2004-10-19,1790.324
msl,alaska,alaska,False,2004-10-08,2004-10-20,1126.541
msl,alaska,alaska,False,2004-10-08,2004-10-21,1161.302
msl,alaska,alaska,False,2004-10-08,2004-10-22,1570.856
msl,alaska,alaska,False,2011-11-04,2011-11-05,759.434
msl,alaska,alaska,False,2011-11-04,2011-11-06,773.45
msl,alaska,alaska,False,2011-11-04,2011-11-07,684.828
