variable,forecast_domain,reference_date,forecast_date,naive_2.5,naive_50,naive_97.5
msl,alaska,2004-10-06,2004-10-07,704.319,1012.977,1434.184
msl,alaska,2004-10-06,2004-10-08,1011.98,1338.204,1728.834
msl,alaska,2004-10-06,2004-10-09,995.761,1422.195,1917.0
msl,alaska,2004-10-06,2004-10-10,928.074,1308.083,1752.928
msl,alaska,2004-10-06,2004-10-11,935.454,1334.202,1756.82
msl,alaska,2004-10-06,2004-10-12,940.758,1347.524,1745.88
msl,alaska,2004-10-06,2004-10-13,685.82,925.179,1251.785
msl,alaska,2004-10-06,2004-10-14,890.867,1344.394,1947.688
msl,alaska,2004-10-06,2004-10-15,972.87,1351.761,1853.047
msl,alaska,2004-10-06,2004-10-16,754.199,1098.095,1528.67
msl,alaska,2004-10-06,2004-10-17,738.645,994.036,1354.63
msl,alaska,2004-10-06,2004-10-18,903.155,1174.854,1476.765
msl,alaska,2004-10-06,2004-10-19,1498.092,1837.171,2192.784
msl,alaska,2004-10-06,2004-10-20,1008.054,1383.957,1823.592
msl,alaska,2004-10-08,2004-10-09,951.003,1398.141,1912.03
msl,alaska,2004-10-08,2004-10-10,916.298,1294.522,1781.744
msl,alaska,2004-10-08,2004-10-11,930.049,1320.691,1727.359
msl,alaska,2004-10-08,2004-10-12,934.832,1329.033,1722.347
msl,alaska,2004-10-08,2004-10-13,660.67,918.689,1272.449
msl,alaska,2004-10-08,2004-10-14,904.426,1359.759,1855.367
msl,alaska,2004-10-08,2004-10-15,942.313,1351.014,1835.249
msl,alaska,2004-10-08,2004-10-16,762.548,1113.592,1537.593
msl,alaska,2004-10-08,2004-10-17,759.313,990.379,1377.069
msl,alaska,2004-10-08,2004-10-18,907.1,1172.165,1455.709
msl,alaska,2004-10-08,2004-10-19,1505.275,1845.927,2191.248
msl,alaska,2004-10-08,2004-10-20,1034.067,1388.872,1800.874
msl,alaska,2004-10-08,2004-10-21,916.518,1302.481,1734.063
msl,alaska,2004-10-08,2004-10-22,953.868,1330.224,1755.574
msl,alaska,2011-11-04,2011-11-05,737.019,1042.601,1471.216
msl,alaska,2011-11-04,2011-11-06,704.746,1098.474,1589.369
msl,alaska,2011-11-04,2011-11-07,652.63,1035.718,1488.054
msl,alaska,2011-11-04,2011-11-08,837.311,1220.185,1717.384
msl,alaska,2011-11-04,2011-11-09,1360.209,1710.3,2030.31
msl,alaska,2011-11-04,2011-11-10,1212.284,1637.491,2172.661
msl,alaska,2011-11-04,2011-11-11,856.9,1152.398,1595.221
msl,alaska,2011-11-04,2011-11-12,1392.93,1841.341,2473.175
msl,alaska,2011-11-04,2011-11-13,1047.892,1464.684,1956.191
msl,alaska,2011-11-04,2011-11-14,721.608,1127.621,1599.494
msl,alaska,2011-11-04,2011-11-15,842.204,1330.14,1950.604
